,Text,Dep,Head,Child
289341,Мерри,nsubj,даст,[]
289435,Мерри,nsubj,возликовал,[]
290090,Мерри,nsubj,продолжал,[]
290861,Мерри,nsubj,продолжал,[]
296466,Мерри,nsubj,заметил,[]
296953,Мерри,nsubj,вмешался,[]
297137,Мерри,nsubj,предостерег,[]
297267,Мерри,nsubj,ответил,[]
297309,Мерри,nsubj,предостерег,[]
297439,Мерри,nsubj,ответил,[]
302735,Мерри,nsubj,пожал,[]
303779,Мерри,nsubj,ответили,[Пиппин]
304248,Мерри,nsubj,оглянулись,[Пиппин]
304575,Мерри,nsubj,отозвался,[]
304790,Мерри,nsubj,рассмеялся,[]
305216,Мерри,nsubj,клонило,[]
305253,Мерри,nsubj,выдержал.–Ты,[]
305355,Мерри,nsubj,проворчал,[]
305795,Мерри,nsubj,удивился,[]
305887,Мерри,nsubj,посоветовал,[]
306005,Мерри,nsubj,хмыкнул,[]
307233,Мерри,nsubj,отвернулся,[один]
307906,Мерри,nsubj,побрел,[]
307930,Мерри,nsubj,побрел,[]
309082,Мерри,nsubj,сказал,[Арагорну]
390232,Мериадок,nsubj,попали,[Пиппин]
405794,Мерри,nsubj,прихватил,[]
405995,Мерри,nsubj,попросил,[]
406243,Мерри,nsubj,чувствовал,[]
407161,Мерри,nsubj,спал,[]
407329,Мерри,nsubj,встал,[]
407563,Мерри,nsubj,поинтересовался,[закончил]
407968,Мерри,nsubj,воскликнул,[]
408146,Мерри,nsubj,вмешался,[]
408352,Мерри,nsubj,увидел,[]
408568,Мерри,nsubj,взобрался,[]
408676,Мерри,nsubj,смотрел,[]
408935,Мерри,nsubj,почудилось,[]
409192,Мерри,nsubj,выдавил,[]
415377,Мерри,nsubj,глядел,[]
415459,Мерри,nsubj,сидел,[]
415490,Мерри,nsubj,любил,[]
415564,Мерри,nsubj,трясся,[]
415635,Мерри,nsubj,беседовал,[]
415773,Мерри,nsubj,думал,[]
416585,Мерри,nsubj,различил,[]
416684,Мерри,nsubj,заметил,[]
416754,Мерри,nsubj,глянул,[]
416949,Мерри,nsubj,разглядывал,[]
416996,Мерри,nsubj,разглядел,[]
417052,Мерри,nsubj,разглядел,[]
417327,Мерри,nsubj,обратил,[]
417372,Мерри,nsubj,надеялся,[]
417485,Мерри,nsubj,понял,[]
417547,Мерри,nsubj,показалось,[]
417878,Мерри,nsubj,убедился,[]
418072,Мерри,nsubj,вспомнил,[]
418160,Мерри,nsubj,встал,[]
418723,Мерри,nsubj,обеспокоился,[]
419285,Мерри,nsubj,ахнул,[]
420252,Мерри,nsubj,ответил,[]
420341,Мерри,nsubj,прошептал,[]
420455,Мерри,nsubj,выглянул,[]
420547,Мерри,nsubj,увидел,[]
420624,Мерри,nsubj,вошел,[]
420644,Мерри,nsubj,услышал,[]
420984,Мерри,nsubj,запнулся,[]
421079,Мерри,nsubj,взмолился,[]
421193,Мерри,nsubj,последовал,[]
421315,Мерри,nsubj,поклонился,[]
421645,Мерри,nsubj,обратил,[]
421988,Мерри,nsubj,склонился,[]
422035,Мериадок,nsubj,делать,"[,, достойный]"
422064,Мерри,nsubj,сдавался,[]
422246,Мерри,nsubj,обернулся,[]
422367,Мерри,nsubj,вымолвил,[пораженный]
435949,Мерри,nsubj,осмотрелся,[]
436029,Мерри,nsubj,оставалось,[]
436275,Мерри,nsubj,ощущал,[]
436404,Мерри,nsubj,захотелось,[]
436448,Мерри,nsubj,настоящим,[]
436550,Мерри,nsubj,узнал,[]
436631,Мерри,nsubj,забеспокоился,[]
436880,Мерри,nsubj,понравился,[]
436983,Мерри,nsubj,увидел,[]
437041,Мерри,nsubj,померещилось,[]
437101,Мерри,nsubj,подкрадывался,[]
438394,Мерри,nsubj,стал,[]
438831,Мерри,nsubj,смог,[]
439701,Мерри,nsubj,заметил,[]
439732,Мерри,nsubj,услышал,[]
440112,Мерри,nsubj,трясся,[]
440307,Мерри,nsubj,выглянул,[]
440637,Мерри,nsubj,почувствовал,[]
441950,Мерри,nsubj,получил,[]
441993,Мерри,nsubj,пополз,[]
442194,Мерри,nsubj,поверил,[]
442415,Мерри,nsubj,припомнилось,[]
443147,Мерри,nsubj,нагнулся,[]
443327,Мерри,nsubj,опустил,[]
443392,Мерри,nsubj,начал,[]
443412,Мерри,nsubj,огляделся,[]
444056,Мерри,nsubj,нашел,[свое]
450930,Мерри,nsubj,замечал,[]
451127,Мерри,nsubj,показалось,[]
451175,Мерри,nsubj,оказался,[]
451360,Мерри,nsubj,ответил,[]
451481,Мерри,nsubj,откликнулся,[]
451615,Мерри,nsubj,шатался,[]
451818,Мерри,nsubj,ощупав,[]
457246,Мерри,nsubj,лежал,[]
457296,Мерри,nsubj,волнуйся,[умрет.–Не]
457379,Мериадок,nsubj,забудет,[]
457438,Мерри,nsubj,открыл,[]
457519,Мерри,nsubj,успокоился,[]
457570,Мерри,nsubj,ответил,[]
457787,Мериадок,nsubj,что,[вспомню!–Достопочтенный]
457991,Мерри,nsubj,схватил,[]
458235,Мерри,nsubj,признался,[]
459493,Мерри,nsubj,устал,[]
459750,Мерри,nsubj,поддержал,[]
465037,Мерри,nsubj,остался,[]
465224,Мерри,nsubj,приметил,[]
465280,Мерри,nsubj,стоял,[]
469732,Мерри,nsubj,далеко,[]
470777,Мерри,nsubj,спускался,[]
514176,Мерри,nsubj,сидел,[]
514666,Мерри,nsubj,плакал,[]
515481,Мерри,nsubj,взял,[]
516322,Мерри,nsubj,почудилось,[]
517428,Мерри,nsubj,подошли,[Пиппин]
517579,Мерри,nsubj,рассмеялись,[Пиппином]
518847,Мерри,nsubj,предложил,[]
518892,Мерри,nsubj,предложил,[]
519046,Мерри,nsubj,ответил,[]
525571,Мерри,nsubj,добавил,[]
525646,Мерри,nsubj,сказал,[]
526008,Мерри,nsubj,удивился,[]
526127,Мерри,nsubj,вздохнул,[]
526417,Мерри,nsubj,окликнул,[]
526643,Мерри,nsubj,пообещал,[]
526684,Мерри,nsubj,перебросил,[]
526788,Мерри,nsubj,сказал,[]
526871,Мерри,nsubj,приказал,[]
526952,Мерри,nsubj,сказал,[]
529157,Мерри,nsubj,погнал,[]
529168,Мерри,nsubj,смеялись,"[Пиппин, Сэм]"
529270,Мерри,nsubj,крикнул,[]
529309,Мерри,nsubj,решил,[]
529416,Мерри,nsubj,разрешил,[]
529473,Мерри,nsubj,разрешил,[]
529748,Мерри,nsubj,удержал,[]
529864,Мерри,nsubj,пробормотал,[]
529930,Мерри,nsubj,ответил,[]
530003,Мерри,nsubj,пожал,[]
530572,Мерри,nsubj,обнажили,[Сэм]
530655,Мерри,nsubj,приказал,[]
531082,Мерри,nsubj,возразил,[]
531224,Мерри,nsubj,согласился,[]
531292,Мерри,nsubj,предложил,[]
532276,Мерри,nsubj,распорядился,[]
532689,Мерри,nsubj,возмутился,[]
532991,Мерри,nsubj,кивнул,[]
533117,Мерри,nsubj,поспешил,[]
533485,Мерри,nsubj,шагнул,[]
533760,Мерри,nsubj,ответил,[]
534027,Мерри,nsubj,назначил,[]
534607,Мерри,nsubj,насторожился,[]
535630,Мерри,nsubj,появился,[]
535859,Мерри,nsubj,изложил,[]
536080,Мерри,nsubj,протрубил,[]
536179,Мерри,nsubj,перебежали,"[Пиппин, дравшиеся]"
536196,Мерри,nsubj,зарубил,[]
536514,Мерри,nsubj,перебежали,"[Пиппин, дравшиеся]"
536531,Мерри,nsubj,зарубил,[]
536856,Мерри,nsubj,подтвердил,[]
537426,Мерри,nsubj,добавил,[]
537499,Мерри,nsubj,рассмеялся,[]
537698,Мерри,nsubj,спросил,[]
541919,Мерри,nsubj,поселились,[Пиппин]
544571,Мерри,nsubj,вылетели,[Пиппином]
544693,Мерри,nsubj,поцеловал,[Пиппина]
544909,Мерри,nsubj,стояли,[Пиппин]
544990,Мерри,nsubj,свернули,[Пиппин]
