,Text,Dep,Head,Child
326446,Смеагол,nsubj,думает,[]
326451,Смеагол,nsubj,рад,[]
326570,Голлум,nsubj,прирос,[]
326677,Голлум,nsubj,пригнулся,[]
326714,Голлум,nsubj,боялся,[]
326889,Голлум,nsubj,лежал,[]
326982,Голлум,nsubj,согласился,[]
327037,Голлум,nsubj,возвращался,[]
327359,Голлум,nsubj,переживал,[]
328231,Голлум,nsubj,вытерпел,[]
328541,Голлум,nsubj,сидел,[]
328565,Голлум,nsubj,собирался,[]
328713,Смеагол,nsubj,обещал,[]
328762,Смеагол,nsubj,сказал,[]
329324,Голлум,nsubj,внимал,[]
329659,Голлум,nsubj,обрадовался,[]
329734,Голлум,nsubj,заскрипел,[]
329762,Смеагол,nsubj,сделает,[]
329907,Голлум,nsubj,встал,[]
329962,Голлум,nsubj,обезумел,[]
330048,Голлум,nsubj,поднялся,[тогда]
331042,Голлум,nsubj,испугался,[]
331049,Смеагол,nsubj,сказал,[]
331058,Смеагол,nsubj,сказал,[]
331076,Смеагол,nsubj,знал,[]
331086,Смеагол,nsubj,знал,[]
331114,Голлум,nsubj,виноват.–Хозяин,[]
331569,Смеагол,nsubj,знает,[]
331572,Смеагол,nsubj,дорога,[]
331599,Смеагол,nsubj,нашел,[]
331652,Смеагол,nsubj,мог,[]
331676,Смеагол,nsubj,боится,[]
331714,Смеагол,nsubj,должен,[]
331743,Смеагол,nsubj,хороший,[]
331778,Голлум,nsubj,притворялся,[]
331780,Смеагол,nsubj,притворялся,[]
331807,Смеагол,nsubj,одержал,"[старый, добрый, смевший, пикнуть]"
332617,Голлум,nsubj,закивал,[]
332624,Смеагол,nsubj,дрожит,[]
332920,Голлум,nsubj,Ошибался,"[и, ,]"
333036,Голлум,nsubj,раздавлен,[]
333149,Голлум,nsubj,говорил,[]
333276,Голлум,nsubj,очнулся,[]
333369,Смеагол,nsubj,молодым,[]
333428,Голлум,nsubj,продолжал,[]
333556,Голлум,nsubj,подтвердил,[]
333635,Голлум,nsubj,подтвердил,[]
333776,Голлум,nsubj,произнес,[]
333837,Голлум,nsubj,ответил,[]
333956,Голлум,nsubj,запротестовал,[]
334081,Голлум,nsubj,оскорбился,[]
334095,Смеагол,nsubj,говорил,[]
334128,Смеагол,nsubj,говорит,[можно]
334265,Голлум,nsubj,зашипел,[]
334334,Смеагол,nsubj,нужен,"[добрый, Смеагол]"
334353,Смеагол,nsubj,поможет,[]
334374,Голлум,nsubj,скорчился,[]
334444,Смеагол,nsubj,выбрался,[]
334522,Голлум,nsubj,пробормотал,[]
334597,Голлум,nsubj,зашипел,[]
334678,Голлум,nsubj,говорит,[]
334716,Голлум,nsubj,сказал,[]
334779,Голлум,nsubj,что,[]
334881,Голлум,nsubj,буркнул,[]
336067,Голлум,nsubj,привстал,[]
336119,Голлум,nsubj,сполз,[]
336226,Смеагол,nsubj,думает,[]
336318,Голлум,nsubj,спросил,[]
336383,Голлум,nsubj,спросил,[]
336744,Голлум,nsubj,подтвердил,[]
336747,Смеагол,nsubj,слышал,[]
336768,Смеагол,nsubj,хочет,[]
336777,Смеагол,nsubj,хочет,[]
336874,Смеагол,nsubj,Ладно,"[,]"
336911,Голлум,nsubj,вскричал,[обрадованный]
337015,Голлум,nsubj,стал,[]
337064,Смеагол,nsubj,достанет,[]
337279,Голлум,nsubj,торопил,[]
337643,Голлум,nsubj,спит,[]
337722,Голлум,nsubj,решился,[]
338483,Голлум,nsubj,кашлял,[]
338823,Голлум,nsubj,полез,[]
338944,Голлум,nsubj,полез,[]
339081,Голлум,nsubj,двинется,[]
339113,Голлум,nsubj,ослабеет,[]
339419,Голлум,nsubj,оглянулся,[]
339422,Смеагол,nsubj,помогает,[]
339654,Голлум,nsubj,заглянул,[подкравшийся]
339678,Голлум,nsubj,жевал,[]
339712,Смеагол,nsubj,принес,[]
339742,Смеагол,nsubj,старается,[]
339966,Смеагол,nsubj,принесет,[]
339974,Голлум,nsubj,согласился,[]
340155,Голлум,nsubj,вернулся,[]
340248,Голлум,nsubj,вернулся,[]
340282,Голлум,nsubj,увидел,[]
340295,Голлум,nsubj,рассердился,[]
340351,Голлум,nsubj,зашипел,[]
340442,Голлум,nsubj,взвизгнул,[]
340454,Смеагол,nsubj,принес,[]
340737,Голлум,nsubj,отрезал,[]
340740,Смеагол,nsubj,рад,[]
340744,Смеагол,nsubj,любит,[]
340750,Смеагол,nsubj,ест,[]
340807,Смеагол,nsubj,станет,[]
340869,Смеагол,nsubj,пойдет,[]
340877,Голлум,nsubj,просвистел,[]
340899,Смеагол,nsubj,копать,[]
341387,Смеагол,nsubj,раскаивается,[]
343872,Голлум,nsubj,запропастился,"[этот, треклятый]"
358847,Смеагол,nsubj,остался,[Бедный]
359032,Голлум,nsubj,имел,[]
359188,Голлум,nsubj,имел,[]
359287,Голлум,nsubj,старался,[]
359328,Смеагол,nsubj,пойдет,[]
359333,Голлум,nsubj,заявил,[]
359353,Смеагол,nsubj,нет,"[занят.–У, нас]"
359371,Смеагол,nsubj,должен,[]
359397,Смеагол,nsubj,проглотил,[]
359403,Смеагол,nsubj,подавится,[]
359425,Голлум,nsubj,выполз,[]
359498,Смеагол,nsubj,хороший,[]
359570,Голлум,nsubj,переспросил,[]
359668,Голлум,nsubj,имел,[сам]
359741,Голлум,nsubj,пополз,[]
359834,Голлум,nsubj,извернулся,[]
360355,Голлум,nsubj,уронил,[]
360437,Голлум,nsubj,уронил,[]
360521,Голлум,nsubj,ответил,[]
360628,Голлум,nsubj,взвизгнул,[]
360745,Голлум,nsubj,опустил,[]
360849,Голлум,nsubj,ответил,[]
360892,Смеагол,nsubj,клянется,[]
361512,Голлум,nsubj,говорит,[]
361605,Голлум,nsubj,зашипел,[]
361628,Голлум,nsubj,крикнул,[]
361804,Голлум,nsubj,ковылял,[]
363323,Голлум,nsubj,завизжал,[]
363690,Голлум,nsubj,ковырялся,[]
363723,Голлум,nsubj,спросил,[]
363779,Голлум,nsubj,оглянулся,[]
363782,Смеагол,nsubj,пошутил,[]
363785,Смеагол,nsubj,прощает,[]
363884,Голлум,nsubj,отказался,[]
364125,Голлум,nsubj,останавливался,[]
364234,Голлум,nsubj,боялся,[]
364714,Голлум,nsubj,махнул,[]
364881,Голлум,nsubj,откликнулся,[]
365037,Голлум,nsubj,свернулся,[]
365054,Голлум,nsubj,проснулся,[]
