,Text,Dep,Head,Child
66984,Фродо,nsubj,подбежал,[]
67735,Фродо,nsubj,повеселел,[]
67805,Фродо,nsubj,стоял,[]
68098,Фродо,nsubj,узнал,[]
68779,Фродо,nsubj,знал,[]
69668,Фродо,nsubj,поймал,[]
69728,Фродо,nsubj,вынул,[]
69831,Фродо,nsubj,вскрикнул,[]
69847,Фродо,nsubj,поднес,[]
69930,Фродо,nsubj,подождал,[]
70012,Фродо,nsubj,встал,[]
70580,Фродо,nsubj,очнулся,[]
70760,Фродо,nsubj,остановился.–А,"[–, и, вдруг]"
71612,Фродо,nsubj,сказал,[]
72355,Фродо,nsubj,увидел,[]
72487,Фродо,nsubj,покатился,[кубарем]
72531,Фродо,nsubj,струхнул,[]
72562,Фродо,nsubj,почудилось,[]
72586,Фродо,nsubj,стоял,[]
72715,Фродо,nsubj,прибавил,[]
72727,Фродо,nsubj,уверен,[]
72846,Фродо,nsubj,прибавил,[]
72858,Фродо,nsubj,уверен,[]
72947,Фродо,nsubj,стоял,[]
72995,Фродо,nsubj,поднял,[]
73117,Фродо,nsubj,закричал,[]
73158,Фродо,nsubj,пролепетал,[]
73254,Фродо,nsubj,успел,[]
73318,Фродо,nsubj,смел,[]
73426,Фродо,nsubj,отличался,[]
73464,Фродо,nsubj,понял,[]
73532,Фродо,nsubj,смог,[]
73563,Фродо,nsubj,повернулся,[]
73770,Фродо,nsubj,пробрал,[]
73783,Фродо,nsubj,понял,[]
73862,Фродо,nsubj,приподнялся,[]
74023,Фродо,nsubj,понял,[]
74069,Фродо,nsubj,решился,[]
74146,Фродо,nsubj,удержался,[]
74165,Фродо,nsubj,вспомнил,[]
74297,Фродо,nsubj,слышал,[]
74585,Фродо,nsubj,обернулся,[]
74743,Фродо,nsubj,стали,[спящие]
74932,Фродо,nsubj,пожал,[]
75152,Фродо,nsubj,заметил,[]
76730,Фродо,nsubj,вертел,[]
77131,Фродо,nsubj,вздохнул,[]
77762,Фродо,nsubj,напомнил,[]
79031,Фродо,nsubj,миновали,[спутники]
79090,Фродо,nsubj,ответил,[]
79340,Фродо,nsubj,отрезал,[]
79538,Фродо,nsubj,испытал,[]
79610,Фродо,nsubj,поежился,[]
79820,Фродо,nsubj,спросил,[]
80024,Фродо,nsubj,шагнул,[]
80203,Фродо,nsubj,представил,[]
81017,Фродо,nsubj,порешили,"[Пиппин, Сэм]"
81460,Фродо,nsubj,вынужден,[]
81483,Фродо,nsubj,заявил,[]
81562,Фродо,nsubj,решил,[]
81635,Фродо,nsubj,выказал,[]
81857,Фродо,nsubj,показалось,[]
81983,Фродо,nsubj,смутили,[]
82030,Фродо,nsubj,заметил,[]
82164,Фродо,nsubj,спросил,[]
82396,Фродо,nsubj,оглянулся,[]
82439,Фродо,nsubj,подошел,[]
82505,Фродо,nsubj,сказал,[]
82612,Фродо,nsubj,выдержал,[]
82632,Фродо,nsubj,услышал,[тревогой]
82685,Фродо,nsubj,испугался,[]
82762,Фродо,nsubj,заерзал,[]
82792,Фродо,nsubj,похолодел,[]
82823,Фродо,nsubj,вскочил,[]
82877,Фродо,nsubj,почувствовал,[]
82917,Фродо,nsubj,подавил,[]
83004,Фродо,nsubj,выдавил,[]
83212,Фродо,nsubj,пришла,[]
83800,Фродо,nsubj,чувствовал,[]
83837,Фродо,nsubj,снял,[]
83938,Фродо,nsubj,понравились,[]
83955,Фродо,nsubj,появился,[]
84005,Фродо,nsubj,притворился,[]
84060,Фродо,nsubj,удивился,[]
