Text,Head
Арагорн,осадил
Арагорн,послал
Арагорн,обратился
Арагорн,сказал
Арагорн,подтвердил
Арагорн,начал
Арагорн,откликнулся
Арагорн,намеревался
Арагорн,кивнул
Арагорн,поставил
Арагорн,высказал
Арагорн,посмотрел
Арагорн,сказал
Арагорн,выстроил
Арагорн,следовал
Арагорн,сказал
Арагорн,шевельнулся
Арагорн,вел
Арагорн,застыл
Арагорн,ответствовал
Арагорн,встал
Арагорн,позвал
Арагорн,отклонил
Арагорн,принял
Арагорн,надел
Арагорн,призвал
Арагорн,просил
Арагорн,ждет
Арагорн,сказал
Арагорн,сказал
Арагорн,повернулся
Арагорн,поднялся
Арагорн,воскликнул
Арагорн,перенес
Арагорн,посадил
Арагорн,молвил
Арагорн,произнес
Арагорн,сказал
Арагорн,обещал
Арагорн,велел
Арагорн,молвил
Арагорн,собрался
Арагорн,сказал
Арагорн,сказал
Арагорн,спросил
Арагорн,молвил
Арагорн,остановился
Арагорн,опорой
Арагорн,сказал
Арагорн,попрощался
