Text,Head
Гэндальф,появился
Гэндальф,ответствовал
Гэндальф,ответил
Гэндальф,сказал
Гэндальф,явился
Гэндальф,положил
Гэндальф,возразил
Гэндальф,помог
Гэндальф,говорит
Гэндальф,водрузил
Гэндальф,возложил
Гэндальф,отвечал
Гэндальф,перестал
Гэндальф,улыбнулся
Гэндальф,вышел
Гэндальф,взошел
Гэндальф,сказал
Гэндальф,возразил
Гэндальф,молвил
Гэндальф,ответил
Гэндальф,покачал
Гэндальф,говори
Гэндальф,сказал
Гэндальф,окликнул
Гэндальф,вздохнул
Гэндальф,заметил
Гэндальф,предложил
Гэндальф,вмешался
Гэндальф,сказал
Гэндальф,мог
Гэндальф,зашел
Гэндальф,спросил
Гэндальф,рассмеялся
Гэндальф,улыбнулся
Гэндальф,уселся
Гэндальф,сказал
Гэндальф,кивнул
Гэндальф,возразил
Гэндальф,заверил
Гэндальф,гостил
Гэндальф,появился
Гэндальф,покачал
Гэндальф,возразил
Гэндальф,ответил
Гэндальф,поправил
Гэндальф,предупреждал
Гэндальф,позаботится
Гэндальф,плывет
Гэндальф,подтвердил
